Rainfall - (MM), Year,Month
40.4258,1901,January
12.3022,1901,February
25.5119,1901,March
14.2942,1901,April
38.3046,1901,May
12.8813,1901,June
68.093,1901,July
16.5836,1901,August
13.3391,1901,September
3.10757,1901,October
0.21419,1901,November
3.27559,1901,December
2.31336,1902,January
3.17559,1902,February
13.3201,1902,March
16.6064,1902,April
17.0574,1902,May
19.3449,1902,June
25.7954,1902,July
34.1203,1902,August
17.5,1902,September
7.08495,1902,October
14.5744,1902,November
4.73243,1902,December
22.6658,1903,January
10.2447,1903,February
40.695,1903,March
12.3373,1903,April
35.182,1903,May
7.95537,1903,June
75.6535,1903,July
34.1329,1903,August
24.1921,1903,September
1.82323,1903,October
1.2238,1903,November
10.0793,1903,December
61.2916,1904,January
10.9565,1904,February
68.4706,1904,March
10.8674,1904,April
9.80757,1904,May
6.63728,1904,June
22.9002,1904,July
26.1663,1904,August
17.5644,1904,September
8.62059,1904,October
12.2084,1904,November
6.44073,1904,December
53.5866,1905,January
37.0232,1905,February
41.1089,1905,March
14.3762,1905,April
12.9388,1905,May
7.47864,1905,June
17.6693,1905,July
8.42186,1905,August
36.4692,1905,September
2.22197,1905,October
0.23152,1905,November
27.6909,1905,December
7.44133,1906,January
78.1301,1906,February
37.7996,1906,March
11.4353,1906,April
19.8325,1906,May
12.6819,1906,June
25.2715,1906,July
44.5472,1906,August
28.7101,1906,September
2.93003,1906,October
0.2753,1906,November
11.1771,1906,December
18.81,1907,January
38.2396,1907,February
29.2855,1907,March
36.3981,1907,April
4.75605,1907,May
33.4921,1907,June
33.0677,1907,July
54.822,1907,August
2.99025,1907,September
2.88652,1907,October
0.88287,1907,November
2.76253,1907,December
40.6442,1908,January
17.759,1908,February
13.8815,1908,March
60.2271,1908,April
15.155,1908,May
10.8517,1908,June
100.309,1908,July
90.0436,1908,August
27.5185,1908,September
2.64982,1908,October
0.30752,1908,November
19.4151,1908,December
22.0417,1909,January
34.5044,1909,February
17.239,1909,March
49.3441,1909,April
5.69387,1909,May
25.5863,1909,June
110.821,1909,July
27.676,1909,August
35.4963,1909,September
3.77207,1909,October
2.09046,1909,November
39.1434,1909,December
48.6834,1910,January
10.0486,1910,February
12.8771,1910,March
28.8651,1910,April
8.65424,1910,May
33.9063,1910,June
73.1194,1910,July
83.1,1910,August
4.58992,1910,September
1.80884,1910,October
0.18159,1910,November
7.09619,1910,December
62.1624,1911,January
13.6268,1911,February
63.2829,1911,March
13.1245,1911,April
11.5385,1911,May
8.98892,1911,June
8.07602,1911,July
14.2183,1911,August
9.62532,1911,September
5.47875,1911,October
9.19291,1911,November
11.3108,1911,December
49.9539,1912,January
17.0454,1912,February
7.75363,1912,March
25.0325,1912,April
21.5984,1912,May
13.9635,1912,June
41.5568,1912,July
50.7721,1912,August
8.37116,1912,September
2.50569,1912,October
2.01322,1912,November
22.5349,1912,December
13.1557,1913,January
31.3535,1913,February
27.0575,1913,March
18.966,1913,April
12.7484,1913,May
26.7758,1913,June
43.3387,1913,July
52.2582,1913,August
29.0657,1913,September
3.23762,1913,October
4.07875,1913,November
25.6171,1913,December
23.0338,1914,January
44.1405,1914,February
21.0917,1914,March
44.5625,1914,April
11.9432,1914,May
34.2121,1914,June
