Temperature - (Celsius), Year,Month
7.72768,1901,January
8.936,1901,February
16.9632,1901,March
21.2741,1901,April
26.0497,1901,May
29.3811,1901,June
29.2391,1901,July
27.9718,1901,August
25.2887,1901,September
21.2279,1901,October
15.7539,1901,November
10.917,1901,December
9.90868,1902,January
11.2238,1902,February
17.3237,1902,March
22.1011,1902,April
26.7454,1902,May
28.6774,1902,June
29.3654,1902,July
28.2741,1902,August
25.1602,1902,September
20.8884,1902,October
15.2654,1902,November
9.94845,1902,December
7.69502,1903,January
10.009,1903,February
13.2206,1903,March
19.5796,1903,April
25.6285,1903,May
29.7751,1903,June
29.0659,1903,July
27.9325,1903,August
26.0494,1903,September
21.3515,1903,October
14.0782,1903,November
9.19253,1903,December
6.93021,1904,January
11.3519,1904,February
15.2716,1904,March
21.871,1904,April
26.278,1904,May
29.2731,1904,June
28.8224,1904,July
27.9196,1904,August
25.3069,1904,September
20.3797,1904,October
15.4972,1904,November
10.7429,1904,December
6.75049,1905,January
6.70157,1905,February
12.538,1905,March
19.8944,1905,April
27.2105,1905,May
29.3196,1905,June
29.3462,1905,July
28.2935,1905,August
25.5066,1905,September
21.4719,1905,October
16.119,1905,November
10.2265,1905,December
6.99888,1906,January
8.33483,1906,February
14.2171,1906,March
20.3203,1906,April
27.1914,1906,May
28.9734,1906,June
29.352,1906,July
28.2059,1906,August
24.9951,1906,September
21.3343,1906,October
16.2258,1906,November
11.5644,1906,December
10.438,1907,January
9.12774,1907,February
14.2894,1907,March
20.6502,1907,April
24.6617,1907,May
28.011,1907,June
29.5999,1907,July
27.2584,1907,August
24.9491,1907,September
20.1053,1907,October
15.4206,1907,November
9.60512,1907,December
9.16938,1908,January
10.4964,1908,February
15.0003,1908,March
21.5965,1908,April
25.7166,1908,May
29.3539,1908,June
28.4189,1908,July
26.8204,1908,August
24.2037,1908,September
19.7193,1908,October
14.6582,1908,November
9.50828,1908,December
7.03193,1909,January
9.29564,1909,February
15.7865,1909,March
20.9503,1909,April
25.5858,1909,May
29.0509,1909,June
27.9125,1909,July
27.2877,1909,August
23.9227,1909,September
20.2239,1909,October
16.2276,1909,November
9.69758,1909,December
8.28281,1910,January
10.7145,1910,February
15.0186,1910,March
20.0475,1910,April
26.2383,1910,May
28.9664,1910,June
28.0875,1910,July
27.3745,1910,August
25.0666,1910,September
20.1877,1910,October
14.1164,1910,November
8.60299,1910,December
8.35633,1911,January
10.6605,1911,February
13.8202,1911,March
20.689,1911,April
26.6186,1911,May
29.2712,1911,June
29.1161,1911,July
27.9389,1911,August
25.5788,1911,September
20.7565,1911,October
13.1283,1911,November
9.73885,1911,December
9.34208,1912,January
11.6986,1912,February
15.1625,1912,March
21.7373,1912,April
26.375,1912,May
29.8667,1912,June
29.4885,1912,July
27.3773,1912,August
24.1663,1912,September
20.8547,1912,October
14.0833,1912,November
9.87688,1912,December
9.56291,1913,January
9.79157,1913,February
13.3825,1913,March
21.4796,1913,April
25.9573,1913,May
28.7924,1913,June
28.5364,1913,July
27.2439,1913,August
24.5046,1913,September
20.8197,1913,October
14.4341,1913,November
9.88549,1913,December
10.5031,1914,January
9.37876,1914,February
14.7735,1914,March
21.1517,1914,April
