Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Pakistan,PAK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,368440
Pakistan,PAK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,362020
Pakistan,PAK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,362520
Pakistan,PAK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,362800
Pakistan,PAK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,360630
Pakistan,PAK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,359360
Pakistan,PAK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,352420
Pakistan,PAK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,352770
Pakistan,PAK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,353130
Pakistan,PAK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,360130
Pakistan,PAK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,361350
Pakistan,PAK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,359650
Pakistan,PAK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,360450
Pakistan,PAK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,368420
Pakistan,PAK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,368840
Pakistan,PAK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,369720
Pakistan,PAK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,366980
Pakistan,PAK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,367560
Pakistan,PAK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,367600
Pakistan,PAK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,366690
Pakistan,PAK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,361720
Pakistan,PAK,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,360260
Pakistan,PAK,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,357900
Pakistan,PAK,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,357500
Pakistan,PAK,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,353800
Pakistan,PAK,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,352700
Pakistan,PAK,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,352060
Pakistan,PAK,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,358600
Pakistan,PAK,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,353470
Pakistan,PAK,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,366710
Pakistan,PAK,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,355710
Pakistan,PAK,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,371180
Pakistan,PAK,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,375000
Pakistan,PAK,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,364090
Pakistan,PAK,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,385090
Pakistan,PAK,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,365040
Pakistan,PAK,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,374160
Pakistan,PAK,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,363370
Pakistan,PAK,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,364170
Pakistan,PAK,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,359130
Pakistan,PAK,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,357120
Pakistan,PAK,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,360350
Pakistan,PAK,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,357400
Pakistan,PAK,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,364000
Pakistan,PAK,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,355050
Pakistan,PAK,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,354850
Pakistan,PAK,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,358650
Pakistan,PAK,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,357000
Pakistan,PAK,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,371700
Pakistan,PAK,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,374700
Pakistan,PAK,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,374150
Pakistan,PAK,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,372350
Pakistan,PAK,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,363550
Pakistan,PAK,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,358800
Pakistan,PAK,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,358400
Pakistan,PAK,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,357300
Pakistan,PAK,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.7947281029473
Pakistan,PAK,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.9619136571191
Pakistan,PAK,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0267745952677
Pakistan,PAK,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.063096720631
Pakistan,PAK,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.781600249066
Pakistan,PAK,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.6168534661685
Pakistan,PAK,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.7165836446658
Pakistan,PAK,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.7619863013699
Pakistan,PAK,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.8086861768369
Pakistan,PAK,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.7167393109174
Pakistan,PAK,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.875
Pakistan,PAK,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.6544728102947
Pakistan,PAK,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.7582503113325
Pakistan,PAK,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.7921336654213
Pakistan,PAK,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.8466168534662
Pakistan,PAK,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.9607721046077
Pakistan,PAK,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.6053341635533
Pakistan,PAK,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.6805728518057
Pakistan,PAK,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.6857617268576
Pakistan,PAK,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5677148194271
Pakistan,PAK,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.92299709423
Pakistan,PAK,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.733603154836
Pakistan,PAK,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4274595267746
Pakistan,PAK,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3755707762557
Pakistan,PAK,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.895599833956
Pakistan,PAK,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.7529057700291
Pakistan,PAK,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.6698837691988
Pakistan,PAK,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5182648401827
Pakistan,PAK,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.8527916147779
Pakistan,PAK,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5703092569531
Pakistan,PAK,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.1433686176837
Pakistan,PAK,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.1501660440017
Pakistan,PAK,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.645703611457
Pakistan,PAK,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2304379410544
Pakistan,PAK,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.954597343296
Pakistan,PAK,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3536737235367
Pakistan,PAK,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.5367372353674
Pakistan,PAK,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1370381901204
Pakistan,PAK,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2408156911582
Pakistan,PAK,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5870174346202
Pakistan,PAK,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3262764632628
Pakistan,PAK,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.7452781237028
Pakistan,PAK,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.362598588626
Pakistan,PAK,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2187629721876
Pakistan,PAK,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.0577521793275
Pakistan,PAK,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.0318078040681
Pakistan,PAK,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5247509339975
Pakistan,PAK,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3107098381071
Pakistan,PAK,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.2176214196762
Pakistan,PAK,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.6067870485679
Pakistan,PAK,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.5354400166044
Pakistan,PAK,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.3019406392694
Pakistan,PAK,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1603881278539
Pakistan,PAK,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5442092154421
Pakistan,PAK,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.4923204649232
Pakistan,PAK,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3496264009963
Pakistan,PAK,2016,Arable land (% of land area),AG.LND.ARBL.ZS,40.2656704026567
Pakistan,PAK,2015,Arable land (% of land area),AG.LND.ARBL.ZS,39.4354503943545
Pakistan,PAK,2014,Arable land (% of land area),AG.LND.ARBL.ZS,39.4873391448734
Pakistan,PAK,2013,Arable land (% of land area),AG.LND.ARBL.ZS,39.5262557077626
Pakistan,PAK,2012,Arable land (% of land area),AG.LND.ARBL.ZS,39.227895392279
Pakistan,PAK,2011,Arable land (% of land area),AG.LND.ARBL.ZS,39.0462847654628
Pakistan,PAK,2010,Arable land (% of land area),AG.LND.ARBL.ZS,38.1252594437526
Pakistan,PAK,2009,Arable land (% of land area),AG.LND.ARBL.ZS,38.1641760066418
Pakistan,PAK,2008,Arable land (% of land area),AG.LND.ARBL.ZS,38.2160647571606
Pakistan,PAK,2007,Arable land (% of land area),AG.LND.ARBL.ZS,39.1500622665006
Pakistan,PAK,2006,Arable land (% of land area),AG.LND.ARBL.ZS,39.3316728933167
Pakistan,PAK,2005,Arable land (% of land area),AG.LND.ARBL.ZS,39.1370900788709
Pakistan,PAK,2004,Arable land (% of land area),AG.LND.ARBL.ZS,39.318700705687
Pakistan,PAK,2003,Arable land (% of land area),AG.LND.ARBL.ZS,40.4602532171025
Pakistan,PAK,2002,Arable land (% of land area),AG.LND.ARBL.ZS,40.4991697799917
Pakistan,PAK,2001,Arable land (% of land area),AG.LND.ARBL.ZS,40.6029472810295
Pakistan,PAK,2000,Arable land (% of land area),AG.LND.ARBL.ZS,40.2656704026567
Pakistan,PAK,1999,Arable land (% of land area),AG.LND.ARBL.ZS,40.3564757160648
Pakistan,PAK,1998,Arable land (% of land area),AG.LND.ARBL.ZS,40.3694479036945
Pakistan,PAK,1997,Arable land (% of land area),AG.LND.ARBL.ZS,40.2656704026567
Pakistan,PAK,1996,Arable land (% of land area),AG.LND.ARBL.ZS,39.6300332088003
Pakistan,PAK,1995,Arable land (% of land area),AG.LND.ARBL.ZS,39.5132835201328
